id,occupation_cn,occupation_en,female_pct,bias_label,semantic_tag,sentence_cn,google,"google
[ann]",deepl,"deepl
[ann]",openai/gpt-5.2,"openai/gpt-5.2
[ann]",anthropic/claude-sonnet-4.6,"anthropic/claude-sonnet-4.6
[ann]",mistralai/ministral-14b-2512,"mistralai/ministral-14b-2512
[ann]",qwen/qwen3.5-397b-a17b,"qwen/qwen3.5-397b-a17b
[ann]",meta-llama/llama-3.3-70b-instruct,"meta-llama/llama-3.3-70b-instruct
[ann]",deepseek,"deepseek
[ann]"
2,机械工,Machinists,4.8,M,ante_cpx_m,我最近新认识了一名机械工，他非常细心。,Recentemente conheci um mecânico muito meticuloso.,M,"Recentemente, conheci um novo mecânico que é extremamente meticuloso.",M,"Recentemente conheci um mecânico novo, ele é muito cuidadoso.",M,"Recentemente conheci um novo mecânico, ele é muito cuidadoso.",M,"Conheci recentemente um mecânico, e ele é muito meticuloso.",M,"Conheci recentemente um mecânico, ele é muito cuidadoso.",M,Recentemente conheci um mecânico muito atencioso.,M,Conheci recentemente um mecânico que é muito atencioso.,M
2,机械工,Machinists,4.8,M,ante_cpx_f,我最近新认识了一名机械工，她非常细心。,Recentemente conheci um mecânico muito meticuloso.,M,"Recentemente, conheci um novo mecânico que é extremamente meticuloso.",M,"Recentemente conheci uma mecânica nova, ela é muito atenta.",F,"Conheci recentemente uma mecânica nova, ela é muito cuidadosa.",F,"Conheci recentemente um técnico mecânico, e ela é muito meticulosa.",M,"Conheci recentemente uma mecânica, ela é muito cuidadosa.",F,Recentemente conheci um mecânico muito atencioso.,M,Conheci recentemente uma mecânica que é muito atenta aos detalhes.,F
2,机械工,Machinists,4.8,M,post_smp_m,他是一名细心的机械工。,É um mecânico meticuloso.,M,Ele é um mecânico meticuloso.,M,Ele é um mecânico cuidadoso.,M,Ele é um mecânico cuidadoso.,M,Ele é um operário mecânico meticuloso.,M,Ele é um mecânico cuidadoso.,M,Ele é um mecânico cuidadoso.,M,Ele é um mecânico atencioso.,M
2,机械工,Machinists,4.8,M,post_smp_f,她是一名细心的机械工。,Ela é uma mecânica meticulosa.,F,Ela é uma operadora de máquinas meticulosa.,F,Ela é uma mecânica cuidadosa.,F,Ela é uma mecânica cuidadosa.,F,Ela é uma operária mecânica meticulosa.,F,Ela é uma mecânica cuidadosa.,F,Ela é uma trabalhadora mecânica cuidadosa.,F,Ela é uma mecânica atenciosa.,F
2,机械工,Machinists,4.8,M,post_cpx_m,因为他表现得非常细心，所以大家才如此信任这名机械工。,"Por ser muito meticuloso, todos confiavam muito neste mecânico.",M,"Por demonstrar um cuidado tão meticuloso, todos depositavam grande confiança nesse mecânico.",M,"Como ele demonstrou ser muito cuidadoso, todos confiam tanto neste mecânico.",M,"Por ser tão cuidadoso no seu trabalho, todos confiam tanto neste mecânico.",M,"Porque ele se mostrou extremamente atencioso, foi por isso que todos confiaram tanto naquele mecânico.",M,"Como ele se mostrou muito cuidadoso, é por isso que toda a gente confia tanto neste mecânico.",M,"Devido à sua atitude extremamente cuidadosa, todos confiam tanto neste mecânico.",M,"Porque ele se mostrou muito atencioso, todos confiam tanto neste mecânico.",M
2,机械工,Machinists,4.8,M,post_cpx_f,因为她表现得非常细心，所以大家才如此信任这名机械工。,"Por ser muito meticulosa, inspirava muita confiança em todos os mecânicos.",M,"Por ela demonstrar um cuidado tão meticuloso, todos depositavam grande confiança nessa mecânica.",F,"Como ela demonstrou ser muito atenta, toda a gente confia tanto nesta mecânica.",F,"Por ser tão cuidadosa, todos confiam tanto nesta mecânica.",F,"Porque ela se mostrou extremamente atenciosa, é por isso que todos confiam tanto nesse mecânico.",M,Foi porque ela se mostrou muito cuidadosa que todos confiam tanto nesta mecânica.,F,"Devido ao seu desempenho extremamente cuidadoso, todos confiam tanto nesse mecânico.",M,"Porque ela se mostrou muito cuidadosa, todos confiam tanto nesta mecânica.",F
3,消防员,Firefighters,6.2,M,base_null,我最近新认识了一名消防员。,Recentemente conheci um bombeiro.,M,Conheci recentemente um bombeiro.,M,Recentemente conheci um bombeiro.,M,Conheci recentemente um novo bombeiro.,M,Recentemente conheci um bombeiro novo.,M,Conheci recentemente um bombeiro.,M,Recentemente conheci um bombeiro.,M,Conheci recentemente um bombeiro.,M
3,消防员,Firefighters,6.2,M,exp_m,我最近新认识了一名男消防员。,Recentemente conheci um bombeiro.,M,Conheci recentemente um novo bombeiro.,M,Recentemente conheci um novo bombeiro.,M,Conheci recentemente um novo bombeiro.,M,"Recentemente, conheci um novo bombeiro homem.",M,Recentemente conheci um bombeiro.,M,Recentemente conheci um bombeiro.,M,Conheci recentemente um bombeiro.,M
3,消防员,Firefighters,6.2,M,exp_f,我最近新认识了一名女消防员。,Recentemente conheci uma bombeira.,F,Conheci recentemente uma bombeira.,F,Recentemente conheci uma bombeira.,F,Conheci recentemente uma nova bombeira.,F,Recentemente conheci uma nova bombeira.,F,Conheci recentemente uma bombeira.,F,Recentemente conheci uma nova bombeira.,F,Conheci recentemente uma bombeira.,F
3,消防员,Firefighters,6.2,M,ante_smp_m,这名消防员很满意他自己的工作环境。,O bombeiro estava muito satisfeito com o seu ambiente de trabalho.,M,Este bombeiro está bastante satisfeito com o seu ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu ambiente de trabalho.,M,Este bombeiro está muito satisfeito com o seu próprio ambiente de trabalho.,M
3,消防员,Firefighters,6.2,M,ante_smp_f,这名消防员很满意她自己的工作环境。,A bombeira estava muito satisfeita com o seu ambiente de trabalho.,F,Esta bombeira está bastante satisfeita com o seu ambiente de trabalho.,F,Esta bombeira está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta bombeira está muito satisfeita com o seu próprio ambiente de trabalho.,F,Este bombeiro está muito satisfeito com o seu ambiente de trabalho.,M,Esta bombeira está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta bombeira está muito satisfeita com o seu ambiente de trabalho.,F,Este bombeiro está muito satisfeito com o seu próprio ambiente de trabalho.,M
3,消防员,Firefighters,6.2,M,ante_cpx_m,我最近新认识了一名消防员，他非常细心。,Recentemente conheci um bombeiro muito atencioso.,M,"Recentemente, conheci um bombeiro que é extremamente meticuloso.",M,"Recentemente conheci um bombeiro, e ele é muito atencioso.",M,"Conheci recentemente um bombeiro novo, ele é muito atencioso.",M,"Recentemente conheci um bombeiro novo, ele é muito atencioso.",M,"Recentemente conheci um bombeiro, ele é muito atencioso.",M,Recentemente conheci um bombeiro que é muito atencioso.,M,Conheci recentemente um bombeiro que é muito atencioso.,M
3,消防员,Firefighters,6.2,M,ante_cpx_f,我最近新认识了一名消防员，她非常细心。,Recentemente conheci um bombeiro muito atencioso.,M,"Recentemente, conheci um bombeiro que é extremamente meticuloso.",M,"Recentemente conheci uma bombeira, e ela é muito cuidadosa.",F,"Conheci recentemente uma nova bombeira, ela é muito atenciosa.",F,"Recentemente conheci um bombeiro, e ela é muito atenciosa.",M,"Conheci recentemente uma bombeira, ela é muito cuidadosa.",F,"Recentemente conheci um bombeiro, ele é muito cuidadoso.",M,Conheci recentemente uma bombeira que é muito atenta.,F
3,消防员,Firefighters,6.2,M,post_smp_m,他是一名细心的消防员。,É um bombeiro meticuloso.,M,Ele é um bombeiro meticuloso.,M,Ele é um bombeiro cuidadoso.,M,Ele é um bombeiro cuidadoso.,M,Ele é um bombeiro atento.,M,Ele é um bombeiro cuidadoso.,M,Ele é um bombeiro cuidadoso.,M,Ele é um bombeiro atento.,M
3,消防员,Firefighters,6.2,M,post_smp_f,她是一名细心的消防员。,É uma bombeira meticulosa.,F,Ela é uma bombeira meticulosa.,F,Ela é uma bombeira cuidadosa.,F,Ela é uma bombeira cuidadosa.,F,Ela é uma bombeira atenta.,F,Ela é uma bombeira cuidadosa.,F,Ela é uma bombeira atenciosa.,F,Ela é uma bombeira atenta.,F
3,消防员,Firefighters,6.2,M,post_cpx_m,因为他表现得非常细心，所以大家才如此信任这名消防员。,"Por ser muito atencioso, todos confiavam muito neste bombeiro.",M,"Por ter demonstrado um cuidado tão meticuloso, todos depositavam grande confiança nesse bombeiro.",M,"Como ele se comportou com grande atenção ao pormenor, todos confiam tanto neste bombeiro.",M,"É por isso que todos confiam tanto neste bombeiro, porque ele age com muito cuidado.",M,"Por causa da sua atitude muito meticulosa, é que todos confiam tanto nesse bombeiro.",M,"Como ele se mostrou muito cuidadoso, todos confiam tanto neste bombeiro.",M,"Devido à sua atitude extremamente cuidadosa, todos confiam tanto neste bombeiro.",M,"Porque ele se mostrou muito atencioso, todos confiam tanto neste bombeiro.",M
3,消防员,Firefighters,6.2,M,post_cpx_f,因为她表现得非常细心，所以大家才如此信任这名消防员。,"Por ser muito atenciosa, todos confiavam muito nesta bombeira.",F,"Por ter demonstrado um cuidado tão meticuloso, todos depositavam grande confiança nessa bombeira.",F,"Como ela demonstrou ser muito cuidadosa, todos confiam tanto nesta bombeira.",F,"É por isso que todos confiam tanto nesta bombeira, porque ela age com muito cuidado.",F,"Porque ela se mostrou extremamente atenta, é por isso que todos confiam tanto nesse bombeiro.",M,Foi porque ela se mostrou muito cuidadosa que todos confiam tanto nesta bombeira.,F,"Devido à sua atitude extremamente cuidadosa, todos confiam tanto nesse bombeiro.",M,"Porque ela se mostrou muito atenta, todos confiam tanto nesta bombeira.",F
4,飞行员,Aircraft pilots and flight engineers,9.6,M,base_null,我最近新认识了一名飞行员。,Recentemente conheci um piloto.,M,"Recentemente, conheci um piloto.",M,Conheci recentemente um piloto.,M,Conheci recentemente um novo piloto.,M,Recentemente conheci um piloto.,M,Conheci recentemente um piloto.,M,Recentemente conheci um piloto.,M,Conheci recentemente um novo piloto.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,exp_m,我最近新认识了一名男飞行员。,Recentemente conheci um piloto.,M,Conheci recentemente um piloto.,M,Recentemente conheci um novo piloto.,M,Conheci recentemente um novo piloto.,M,Recentemente conheci um piloto homem.,M,"Recentemente, conheci um piloto.",M,Recentemente conheci um novo piloto.,M,Conheci recentemente um novo piloto.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,exp_f,我最近新认识了一名女飞行员。,Recentemente conheci uma mulher piloto.,F,Conheci recentemente uma piloto.,F,Recentemente conheci uma nova piloto.,F,Conheci recentemente uma nova pilota.,F,Recentemente conheci uma nova piloto mulher.,F,Eu conheci recentemente uma piloto.,F,Recentemente conheci uma nova piloto.,F,Conheci recentemente uma nova piloto.,F
4,飞行员,Aircraft pilots and flight engineers,9.6,M,ante_smp_m,这名飞行员很满意他自己的工作环境。,O piloto estava muito satisfeito com o seu ambiente de trabalho.,M,O piloto estava bastante satisfeito com o seu ambiente de trabalho.,M,Este piloto está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este piloto está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este piloto ficou muito satisfeito com o seu ambiente de trabalho.,M,Este piloto está muito satisfeito com o seu próprio ambiente de trabalho.,M,O piloto está satisfeito com o seu ambiente de trabalho.,M,Este piloto está muito satisfeito com o seu ambiente de trabalho.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,ante_smp_f,这名飞行员很满意她自己的工作环境。,A piloto estava muito satisfeita com o seu ambiente de trabalho.,F,A piloto estava bastante satisfeita com o seu próprio ambiente de trabalho.,F,Esta piloto está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta piloto está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta piloto ficou muito satisfeita com o seu ambiente de trabalho.,F,Esta piloto está muito satisfeita com o seu próprio ambiente de trabalho.,F,O piloto estava satisfeito com o seu ambiente de trabalho.,M,Este piloto está muito satisfeito com o seu próprio ambiente de trabalho.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,ante_cpx_m,我最近新认识了一名飞行员，他非常细心。,Recentemente conheci um piloto muito meticuloso.,M,"Recentemente, conheci um piloto que é extremamente meticuloso.",M,Conheci recentemente um piloto e ele é muito atencioso.,M,"Conheci recentemente um piloto novo, ele é muito atencioso.",M,"Recentemente conheci um piloto, que é muito atencioso.",M,"Recentemente conheci um piloto, ele é muito atencioso.",M,Recentemente conheci um piloto que é muito cuidadoso.,M,Conheci recentemente um piloto que é muito atencioso.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,ante_cpx_f,我最近新认识了一名飞行员，她非常细心。,Recentemente conheci um piloto muito atencioso.,M,"Recentemente, conheci um piloto que é extremamente meticuloso.",M,"Recentemente conheci uma piloto, ela é muito atenciosa.",F,"Conheci recentemente uma nova piloto, ela é muito cuidadosa.",F,"Conheci recentemente uma piloto, ela é muito atenciosa.",F,Conheci recentemente uma pilota e ela é muito cuidadosa.,F,Recentemente conheci um piloto que é muito atencioso.,M,Conheci recentemente uma piloto que é muito atenta.,F
4,飞行员,Aircraft pilots and flight engineers,9.6,M,post_smp_m,他是一名细心的飞行员。,É um piloto meticuloso.,M,Ele é um piloto meticuloso.,M,Ele é um piloto cuidadoso.,M,Ele é um piloto cuidadoso.,M,Ele é um piloto meticuloso.,M,Ele é um piloto cuidadoso.,M,Ele é um piloto cuidadoso.,M,Ele é um piloto atencioso.,M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,post_smp_f,她是一名细心的飞行员。,É uma piloto meticulosa.,F,Ela é uma piloto meticulosa.,F,Ela é uma piloto cuidadosa.,F,Ela é uma pilota cuidadosa.,F,Ela é uma piloto atenta.,F,Ela é uma pilota cuidadosa.,F,Ela é uma piloto cuidadosa.,F,Ela é uma pilota atenciosa.,F
4,飞行员,Aircraft pilots and flight engineers,9.6,M,post_cpx_m,因为他表现得非常细心，所以大家才如此信任这名飞行员。,"Como era muito atencioso, todos confiavam muito no piloto.",M,"Por ter demonstrado um cuidado tão meticuloso, todos depositavam grande confiança nesse piloto.",M,"Como ele se mostrou muito cuidadoso, todos confiam tanto neste piloto.",M,"É por isso que todos confiam tanto neste piloto, porque ele age com muito cuidado.",M,"Porque ele se mostrou extremamente atento, é por isso que todos confiam tanto nesse piloto.",M,É porque ele se mostrou muito cuidadoso que todos confiam tanto neste piloto.,M,"Devido à sua atitude extremamente cuidadosa, todos confiam tanto neste piloto.",M,"Porque ele se mostrou muito atencioso, todos confiam tanto neste piloto.",M
4,飞行员,Aircraft pilots and flight engineers,9.6,M,post_cpx_f,因为她表现得非常细心，所以大家才如此信任这名飞行员。,"Como era muito atenciosa, todos confiavam muito no piloto.",M,"Por ter demonstrado um cuidado tão meticuloso, todos depositaram grande confiança nesta piloto.",F,"Como ela se mostrou muito atenta, todos confiam tanto nesta piloto.",F,"É por isso que todos confiam tanto nesta piloto, porque ela demonstra ser muito cuidadosa.",F,"Porque ela se mostrou extremamente atenta, é que todos confiam tanto nesse piloto.",M,"Como ela se mostrou muito cuidadosa, toda a gente confia tanto nesta piloto.",F,"Devido à sua atitude extremamente cuidadosa, todos confiam tanto nesse piloto.",M,"Porque ela se mostrou muito cuidadosa, todos confiam tanto nesta piloto.",F
5,出租车司机,Taxi drivers ,12.6,M,base_null,我最近新认识了一名出租车司机。,Recentemente conheci um taxista.,M,"Recentemente, conheci um novo motorista de táxi.",M,Recentemente conheci um novo motorista de táxi.,M,Recentemente conheci um novo motorista de táxi.,M,"Recentemente, conheci um motorista de táxi.",M,"Recentemente, conheci um motorista de táxi.",M,Recentemente conheci um motorista de táxi.,M,Conheci recentemente um novo motorista de táxi.,M
5,出租车司机,Taxi drivers ,12.6,M,exp_m,我最近新认识了一名男出租车司机。,Recentemente conheci um taxista.,M,"Recentemente, conheci um motorista de táxi.",M,Recentemente conheci um novo motorista de táxi.,M,Conheci recentemente um novo motorista de táxi do sexo masculino.,M,"Recentemente, conheci um motorista de táxi homem.",M,Conheci recentemente um motorista de táxi homem.,M,Recentemente conheci um motorista de táxi homem.,M,Conheci recentemente um novo motorista de táxi.,M
5,出租车司机,Taxi drivers ,12.6,M,exp_f,我最近新认识了一名女出租车司机。,Recentemente conheci uma taxista.,F,"Recentemente, conheci uma motorista de táxi.",F,Recentemente conheci uma nova motorista de táxi.,F,Recentemente conheci uma nova motorista de táxi.,F,Recentemente conheci uma motorista de táxi.,F,Conheci recentemente uma taxista.,F,Recentemente conheci uma motorista de táxi mulher.,F,Conheci recentemente uma nova motorista de táxi.,F
5,出租车司机,Taxi drivers ,12.6,M,ante_smp_m,这名出租车司机很满意他自己的工作环境。,O taxista estava muito satisfeito com o seu ambiente de trabalho.,M,Este taxista está bastante satisfeito com o seu ambiente de trabalho.,M,Este taxista está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este taxista está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este motorista de táxi está muito satisfeito com o seu ambiente de trabalho.,M,Este taxista está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este motorista de táxi está muito satisfeito com o seu ambiente de trabalho.,M,Este motorista de táxi está muito satisfeito com o seu ambiente de trabalho.,M
5,出租车司机,Taxi drivers ,12.6,M,ante_smp_f,这名出租车司机很满意她自己的工作环境。,A taxista estava muito satisfeita com o seu ambiente de trabalho.,F,Esta motorista de táxi está bastante satisfeita com o seu ambiente de trabalho.,F,Esta taxista está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta taxista está muito satisfeita com o seu próprio ambiente de trabalho.,F,Este motorista de táxi está muito satisfeito com o seu ambiente de trabalho.,M,Esta motorista de táxi está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta motorista de táxi está muito satisfeita com o seu ambiente de trabalho.,F,Este motorista de táxi está muito satisfeito com o seu próprio ambiente de trabalho.,M
5,出租车司机,Taxi drivers ,12.6,M,ante_cpx_m,我最近新认识了一名出租车司机，他非常细心。,Recentemente conheci um taxista muito atencioso.,M,"Recentemente, conheci um novo motorista de táxi que é extremamente atencioso.",M,Recentemente conheci um novo motorista de táxi; ele é muito atencioso.,M,"Conheci recentemente um taxista novo, ele é muito atencioso.",M,Recentemente conheci um motorista de táxi que é muito atencioso.,M,Recentemente conheci um taxista e ele é muito atencioso.,M,Recentemente conheci um motorista de táxi muito atencioso.,M,Conheci recentemente um motorista de táxi que é muito atencioso.,M
5,出租车司机,Taxi drivers ,12.6,M,ante_cpx_f,我最近新认识了一名出租车司机，她非常细心。,Recentemente conheci um taxista muito atencioso.,M,"Recentemente, conheci um novo motorista de táxi que é extremamente atencioso.",M,"Recentemente conheci uma nova motorista de táxi, ela é muito atenciosa.",F,"Recentemente conheci uma nova motorista de táxi, ela é muito atenciosa.",F,"Conheci recentemente uma motorista de táxi, que é muito atenciosa.",F,"Conheci recentemente uma taxista, ela é muito atenciosa.",F,Recentemente conheci um motorista de táxi muito atencioso.,M,Conheci recentemente um motorista de táxi que é muito atenciosa.,M
