occupation,bias_label,target_gender,complexity,position,system,system_type,correct
Carpenters,M,m,smp,post,Qwen,LLM,1
Carpenters,M,m,smp,post,LLaMA,LLM,1
Carpenters,M,m,smp,post,DeepSeek,LLM,1
Carpenters,M,f,smp,post,Google,NMT,1
Carpenters,M,f,smp,post,DeepL,NMT,1
Carpenters,M,f,smp,post,GPT5,LLM,1
Carpenters,M,f,smp,post,Claude,LLM,1
Carpenters,M,f,smp,post,Ministral,LLM,1
Carpenters,M,f,smp,post,Qwen,LLM,1
Carpenters,M,f,smp,post,LLaMA,LLM,1
Carpenters,M,f,smp,post,DeepSeek,LLM,1
Carpenters,M,m,cpx,post,Google,NMT,1
Carpenters,M,m,cpx,post,DeepL,NMT,1
Carpenters,M,m,cpx,post,GPT5,LLM,1
Carpenters,M,m,cpx,post,Claude,LLM,1
Carpenters,M,m,cpx,post,Ministral,LLM,1
Carpenters,M,m,cpx,post,Qwen,LLM,1
Carpenters,M,m,cpx,post,LLaMA,LLM,1
Carpenters,M,m,cpx,post,DeepSeek,LLM,1
Carpenters,M,f,cpx,post,Google,NMT,0
Carpenters,M,f,cpx,post,DeepL,NMT,1
Carpenters,M,f,cpx,post,GPT5,LLM,1
Carpenters,M,f,cpx,post,Claude,LLM,1
Carpenters,M,f,cpx,post,Ministral,LLM,0
Carpenters,M,f,cpx,post,Qwen,LLM,1
Carpenters,M,f,cpx,post,LLaMA,LLM,0
Carpenters,M,f,cpx,post,DeepSeek,LLM,0
Machinists,M,m,smp,ante,Google,NMT,1
Machinists,M,m,smp,ante,DeepL,NMT,1
Machinists,M,m,smp,ante,GPT5,LLM,1
Machinists,M,m,smp,ante,Claude,LLM,1
Machinists,M,m,smp,ante,Ministral,LLM,1
Machinists,M,m,smp,ante,Qwen,LLM,1
Machinists,M,m,smp,ante,LLaMA,LLM,1
Machinists,M,m,smp,ante,DeepSeek,LLM,1
Machinists,M,f,smp,ante,Google,NMT,1
Machinists,M,f,smp,ante,DeepL,NMT,1
Machinists,M,f,smp,ante,GPT5,LLM,1
Machinists,M,f,smp,ante,Claude,LLM,1
Machinists,M,f,smp,ante,Ministral,LLM,0
Machinists,M,f,smp,ante,Qwen,LLM,1
Machinists,M,f,smp,ante,LLaMA,LLM,1
Machinists,M,f,smp,ante,DeepSeek,LLM,0
Machinists,M,m,cpx,ante,Google,NMT,1
Machinists,M,m,cpx,ante,DeepL,NMT,1
Machinists,M,m,cpx,ante,GPT5,LLM,1
Machinists,M,m,cpx,ante,Claude,LLM,1
Machinists,M,m,cpx,ante,Ministral,LLM,1
Machinists,M,m,cpx,ante,Qwen,LLM,1
Machinists,M,m,cpx,ante,LLaMA,LLM,1
Machinists,M,m,cpx,ante,DeepSeek,LLM,1
Machinists,M,f,cpx,ante,Google,NMT,0
Machinists,M,f,cpx,ante,DeepL,NMT,0
Machinists,M,f,cpx,ante,GPT5,LLM,1
Machinists,M,f,cpx,ante,Claude,LLM,1
Machinists,M,f,cpx,ante,Ministral,LLM,0
Machinists,M,f,cpx,ante,Qwen,LLM,1
Machinists,M,f,cpx,ante,LLaMA,LLM,0
Machinists,M,f,cpx,ante,DeepSeek,LLM,1
Machinists,M,m,smp,post,Google,NMT,1
Machinists,M,m,smp,post,DeepL,NMT,1
Machinists,M,m,smp,post,GPT5,LLM,1
Machinists,M,m,smp,post,Claude,LLM,1
Machinists,M,m,smp,post,Ministral,LLM,1
Machinists,M,m,smp,post,Qwen,LLM,1
Machinists,M,m,smp,post,LLaMA,LLM,1
Machinists,M,m,smp,post,DeepSeek,LLM,1
Machinists,M,f,smp,post,Google,NMT,1
Machinists,M,f,smp,post,DeepL,NMT,1
Machinists,M,f,smp,post,GPT5,LLM,1
Machinists,M,f,smp,post,Claude,LLM,1
Machinists,M,f,smp,post,Ministral,LLM,1
Machinists,M,f,smp,post,Qwen,LLM,1
Machinists,M,f,smp,post,LLaMA,LLM,1
Machinists,M,f,smp,post,DeepSeek,LLM,1
Machinists,M,m,cpx,post,Google,NMT,1
Machinists,M,m,cpx,post,DeepL,NMT,1
Machinists,M,m,cpx,post,GPT5,LLM,1
Machinists,M,m,cpx,post,Claude,LLM,1
Machinists,M,m,cpx,post,Ministral,LLM,1
Machinists,M,m,cpx,post,Qwen,LLM,1
Machinists,M,m,cpx,post,LLaMA,LLM,1
Machinists,M,m,cpx,post,DeepSeek,LLM,1
Machinists,M,f,cpx,post,Google,NMT,0
Machinists,M,f,cpx,post,DeepL,NMT,1
Machinists,M,f,cpx,post,GPT5,LLM,1
Machinists,M,f,cpx,post,Claude,LLM,1
Machinists,M,f,cpx,post,Ministral,LLM,0
Machinists,M,f,cpx,post,Qwen,LLM,1
Machinists,M,f,cpx,post,LLaMA,LLM,0
Machinists,M,f,cpx,post,DeepSeek,LLM,1
Firefighters,M,m,smp,ante,Google,NMT,1
Firefighters,M,m,smp,ante,DeepL,NMT,1
Firefighters,M,m,smp,ante,GPT5,LLM,1
Firefighters,M,m,smp,ante,Claude,LLM,1
Firefighters,M,m,smp,ante,Ministral,LLM,1
Firefighters,M,m,smp,ante,Qwen,LLM,1
Firefighters,M,m,smp,ante,LLaMA,LLM,1
Firefighters,M,m,smp,ante,DeepSeek,LLM,1
Firefighters,M,f,smp,ante,Google,NMT,1
Firefighters,M,f,smp,ante,DeepL,NMT,1
Firefighters,M,f,smp,ante,GPT5,LLM,1
Firefighters,M,f,smp,ante,Claude,LLM,1
Firefighters,M,f,smp,ante,Ministral,LLM,0
Firefighters,M,f,smp,ante,Qwen,LLM,1
Firefighters,M,f,smp,ante,LLaMA,LLM,1
Firefighters,M,f,smp,ante,DeepSeek,LLM,0
Firefighters,M,m,cpx,ante,Google,NMT,1
Firefighters,M,m,cpx,ante,DeepL,NMT,1
Firefighters,M,m,cpx,ante,GPT5,LLM,1
Firefighters,M,m,cpx,ante,Claude,LLM,1
Firefighters,M,m,cpx,ante,Ministral,LLM,1
Firefighters,M,m,cpx,ante,Qwen,LLM,1
Firefighters,M,m,cpx,ante,LLaMA,LLM,1
Firefighters,M,m,cpx,ante,DeepSeek,LLM,1
Firefighters,M,f,cpx,ante,Google,NMT,0
Firefighters,M,f,cpx,ante,DeepL,NMT,0
Firefighters,M,f,cpx,ante,GPT5,LLM,1
Firefighters,M,f,cpx,ante,Claude,LLM,1
Firefighters,M,f,cpx,ante,Ministral,LLM,0
Firefighters,M,f,cpx,ante,Qwen,LLM,1
Firefighters,M,f,cpx,ante,LLaMA,LLM,0
Firefighters,M,f,cpx,ante,DeepSeek,LLM,1
Firefighters,M,m,smp,post,Google,NMT,1
Firefighters,M,m,smp,post,DeepL,NMT,1
Firefighters,M,m,smp,post,GPT5,LLM,1
Firefighters,M,m,smp,post,Claude,LLM,1
Firefighters,M,m,smp,post,Ministral,LLM,1
Firefighters,M,m,smp,post,Qwen,LLM,1
Firefighters,M,m,smp,post,LLaMA,LLM,1
Firefighters,M,m,smp,post,DeepSeek,LLM,1
Firefighters,M,f,smp,post,Google,NMT,1
Firefighters,M,f,smp,post,DeepL,NMT,1
Firefighters,M,f,smp,post,GPT5,LLM,1
Firefighters,M,f,smp,post,Claude,LLM,1
Firefighters,M,f,smp,post,Ministral,LLM,1
Firefighters,M,f,smp,post,Qwen,LLM,1
Firefighters,M,f,smp,post,LLaMA,LLM,1
Firefighters,M,f,smp,post,DeepSeek,LLM,1
Firefighters,M,m,cpx,post,Google,NMT,1
Firefighters,M,m,cpx,post,DeepL,NMT,1
Firefighters,M,m,cpx,post,GPT5,LLM,1
Firefighters,M,m,cpx,post,Claude,LLM,1
Firefighters,M,m,cpx,post,Ministral,LLM,1
Firefighters,M,m,cpx,post,Qwen,LLM,1
Firefighters,M,m,cpx,post,LLaMA,LLM,1
Firefighters,M,m,cpx,post,DeepSeek,LLM,1
Firefighters,M,f,cpx,post,Google,NMT,1
Firefighters,M,f,cpx,post,DeepL,NMT,1
Firefighters,M,f,cpx,post,GPT5,LLM,1
Firefighters,M,f,cpx,post,Claude,LLM,1
Firefighters,M,f,cpx,post,Ministral,LLM,0
Firefighters,M,f,cpx,post,Qwen,LLM,1
Firefighters,M,f,cpx,post,LLaMA,LLM,0
Firefighters,M,f,cpx,post,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,Google,NMT,1
Aircraft pilots and flight engineers,M,m,smp,ante,DeepL,NMT,1
Aircraft pilots and flight engineers,M,m,smp,ante,GPT5,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,Claude,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,Ministral,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,Qwen,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,LLaMA,LLM,1
Aircraft pilots and flight engineers,M,m,smp,ante,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,f,smp,ante,Google,NMT,1
Aircraft pilots and flight engineers,M,f,smp,ante,DeepL,NMT,1
Aircraft pilots and flight engineers,M,f,smp,ante,GPT5,LLM,1
Aircraft pilots and flight engineers,M,f,smp,ante,Claude,LLM,1
Aircraft pilots and flight engineers,M,f,smp,ante,Ministral,LLM,1
Aircraft pilots and flight engineers,M,f,smp,ante,Qwen,LLM,1
Aircraft pilots and flight engineers,M,f,smp,ante,LLaMA,LLM,0
Aircraft pilots and flight engineers,M,f,smp,ante,DeepSeek,LLM,0
Aircraft pilots and flight engineers,M,m,cpx,ante,Google,NMT,1
Aircraft pilots and flight engineers,M,m,cpx,ante,DeepL,NMT,1
Aircraft pilots and flight engineers,M,m,cpx,ante,GPT5,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,ante,Claude,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,ante,Ministral,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,ante,Qwen,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,ante,LLaMA,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,ante,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,ante,Google,NMT,0
Aircraft pilots and flight engineers,M,f,cpx,ante,DeepL,NMT,0
Aircraft pilots and flight engineers,M,f,cpx,ante,GPT5,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,ante,Claude,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,ante,Ministral,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,ante,Qwen,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,ante,LLaMA,LLM,0
Aircraft pilots and flight engineers,M,f,cpx,ante,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,Google,NMT,1
Aircraft pilots and flight engineers,M,m,smp,post,DeepL,NMT,1
Aircraft pilots and flight engineers,M,m,smp,post,GPT5,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,Claude,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,Ministral,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,Qwen,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,LLaMA,LLM,1
Aircraft pilots and flight engineers,M,m,smp,post,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,Google,NMT,1
Aircraft pilots and flight engineers,M,f,smp,post,DeepL,NMT,1
Aircraft pilots and flight engineers,M,f,smp,post,GPT5,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,Claude,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,Ministral,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,Qwen,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,LLaMA,LLM,1
Aircraft pilots and flight engineers,M,f,smp,post,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,Google,NMT,1
Aircraft pilots and flight engineers,M,m,cpx,post,DeepL,NMT,1
Aircraft pilots and flight engineers,M,m,cpx,post,GPT5,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,Claude,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,Ministral,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,Qwen,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,LLaMA,LLM,1
Aircraft pilots and flight engineers,M,m,cpx,post,DeepSeek,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,post,Google,NMT,0
Aircraft pilots and flight engineers,M,f,cpx,post,DeepL,NMT,1
Aircraft pilots and flight engineers,M,f,cpx,post,GPT5,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,post,Claude,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,post,Ministral,LLM,0
Aircraft pilots and flight engineers,M,f,cpx,post,Qwen,LLM,1
Aircraft pilots and flight engineers,M,f,cpx,post,LLaMA,LLM,0
Aircraft pilots and flight engineers,M,f,cpx,post,DeepSeek,LLM,1
Taxi drivers ,M,m,smp,ante,Google,NMT,1
Taxi drivers ,M,m,smp,ante,DeepL,NMT,1
Taxi drivers ,M,m,smp,ante,GPT5,LLM,1
Taxi drivers ,M,m,smp,ante,Claude,LLM,1
Taxi drivers ,M,m,smp,ante,Ministral,LLM,1
Taxi drivers ,M,m,smp,ante,Qwen,LLM,1
Taxi drivers ,M,m,smp,ante,LLaMA,LLM,1
Taxi drivers ,M,m,smp,ante,DeepSeek,LLM,1
Taxi drivers ,M,f,smp,ante,Google,NMT,1
Taxi drivers ,M,f,smp,ante,DeepL,NMT,1
Taxi drivers ,M,f,smp,ante,GPT5,LLM,1
Taxi drivers ,M,f,smp,ante,Claude,LLM,1
Taxi drivers ,M,f,smp,ante,Ministral,LLM,0
Taxi drivers ,M,f,smp,ante,Qwen,LLM,1
Taxi drivers ,M,f,smp,ante,LLaMA,LLM,1
Taxi drivers ,M,f,smp,ante,DeepSeek,LLM,0
Taxi drivers ,M,m,cpx,ante,Google,NMT,1
Taxi drivers ,M,m,cpx,ante,DeepL,NMT,1
Taxi drivers ,M,m,cpx,ante,GPT5,LLM,1
Taxi drivers ,M,m,cpx,ante,Claude,LLM,1
Taxi drivers ,M,m,cpx,ante,Ministral,LLM,1
Taxi drivers ,M,m,cpx,ante,Qwen,LLM,1
Taxi drivers ,M,m,cpx,ante,LLaMA,LLM,1
Taxi drivers ,M,m,cpx,ante,DeepSeek,LLM,1
Taxi drivers ,M,f,cpx,ante,Google,NMT,0
Taxi drivers ,M,f,cpx,ante,DeepL,NMT,0
Taxi drivers ,M,f,cpx,ante,GPT5,LLM,1
Taxi drivers ,M,f,cpx,ante,Claude,LLM,1
Taxi drivers ,M,f,cpx,ante,Ministral,LLM,1
Taxi drivers ,M,f,cpx,ante,Qwen,LLM,1
Taxi drivers ,M,f,cpx,ante,LLaMA,LLM,0
Taxi drivers ,M,f,cpx,ante,DeepSeek,LLM,0
Taxi drivers ,M,m,smp,post,Google,NMT,1
Taxi drivers ,M,m,smp,post,DeepL,NMT,1
Taxi drivers ,M,m,smp,post,GPT5,LLM,1
Taxi drivers ,M,m,smp,post,Claude,LLM,1
Taxi drivers ,M,m,smp,post,Ministral,LLM,1
Taxi drivers ,M,m,smp,post,Qwen,LLM,1
Taxi drivers ,M,m,smp,post,LLaMA,LLM,1
Taxi drivers ,M,m,smp,post,DeepSeek,LLM,1
Taxi drivers ,M,f,smp,post,Google,NMT,1
Taxi drivers ,M,f,smp,post,DeepL,NMT,1
Taxi drivers ,M,f,smp,post,GPT5,LLM,1
Taxi drivers ,M,f,smp,post,Claude,LLM,1
Taxi drivers ,M,f,smp,post,Ministral,LLM,1
Taxi drivers ,M,f,smp,post,Qwen,LLM,1
Taxi drivers ,M,f,smp,post,LLaMA,LLM,1
Taxi drivers ,M,f,smp,post,DeepSeek,LLM,1
Taxi drivers ,M,m,cpx,post,Google,NMT,1
Taxi drivers ,M,m,cpx,post,DeepL,NMT,1
Taxi drivers ,M,m,cpx,post,GPT5,LLM,1
Taxi drivers ,M,m,cpx,post,Claude,LLM,1
Taxi drivers ,M,m,cpx,post,Ministral,LLM,1
Taxi drivers ,M,m,cpx,post,Qwen,LLM,1
Taxi drivers ,M,m,cpx,post,LLaMA,LLM,1
Taxi drivers ,M,m,cpx,post,DeepSeek,LLM,1
Taxi drivers ,M,f,cpx,post,Google,NMT,0
Taxi drivers ,M,f,cpx,post,DeepL,NMT,0
Taxi drivers ,M,f,cpx,post,GPT5,LLM,1
Taxi drivers ,M,f,cpx,post,Claude,LLM,1
Taxi drivers ,M,f,cpx,post,Ministral,LLM,0
Taxi drivers ,M,f,cpx,post,Qwen,LLM,1
Taxi drivers ,M,f,cpx,post,LLaMA,LLM,0
Taxi drivers ,M,f,cpx,post,DeepSeek,LLM,1
Police officers,M,m,smp,ante,Google,NMT,1
Police officers,M,m,smp,ante,DeepL,NMT,1
Police officers,M,m,smp,ante,GPT5,LLM,1
Police officers,M,m,smp,ante,Claude,LLM,1
Police officers,M,m,smp,ante,Ministral,LLM,1
Police officers,M,m,smp,ante,Qwen,LLM,1
Police officers,M,m,smp,ante,LLaMA,LLM,1
Police officers,M,m,smp,ante,DeepSeek,LLM,1
Police officers,M,f,smp,ante,Google,NMT,1
Police officers,M,f,smp,ante,DeepL,NMT,1
Police officers,M,f,smp,ante,GPT5,LLM,1
Police officers,M,f,smp,ante,Claude,LLM,1
Police officers,M,f,smp,ante,Ministral,LLM,1
Police officers,M,f,smp,ante,Qwen,LLM,1
Police officers,M,f,smp,ante,LLaMA,LLM,1
Police officers,M,f,smp,ante,DeepSeek,LLM,0
Police officers,M,m,cpx,ante,Google,NMT,1
Police officers,M,m,cpx,ante,DeepL,NMT,1
Police officers,M,m,cpx,ante,GPT5,LLM,1
Police officers,M,m,cpx,ante,Claude,LLM,1
Police officers,M,m,cpx,ante,Ministral,LLM,1
Police officers,M,m,cpx,ante,Qwen,LLM,1
Police officers,M,m,cpx,ante,LLaMA,LLM,1
Police officers,M,m,cpx,ante,DeepSeek,LLM,1
Police officers,M,f,cpx,ante,Google,NMT,1
Police officers,M,f,cpx,ante,DeepL,NMT,0
Police officers,M,f,cpx,ante,GPT5,LLM,1
Police officers,M,f,cpx,ante,Claude,LLM,1
Police officers,M,f,cpx,ante,Ministral,LLM,1
Police officers,M,f,cpx,ante,Qwen,LLM,1
Police officers,M,f,cpx,ante,LLaMA,LLM,1
Police officers,M,f,cpx,ante,DeepSeek,LLM,1
Police officers,M,m,smp,post,Google,NMT,1
Police officers,M,m,smp,post,DeepL,NMT,1
Police officers,M,m,smp,post,GPT5,LLM,1
Police officers,M,m,smp,post,Claude,LLM,1
Police officers,M,m,smp,post,Ministral,LLM,1
Police officers,M,m,smp,post,Qwen,LLM,1
Police officers,M,m,smp,post,LLaMA,LLM,1
Police officers,M,m,smp,post,DeepSeek,LLM,1
Police officers,M,f,smp,post,Google,NMT,1
Police officers,M,f,smp,post,DeepL,NMT,1
Police officers,M,f,smp,post,GPT5,LLM,1
Police officers,M,f,smp,post,Claude,LLM,1
Police officers,M,f,smp,post,Ministral,LLM,1
Police officers,M,f,smp,post,Qwen,LLM,1
Police officers,M,f,smp,post,LLaMA,LLM,1
Police officers,M,f,smp,post,DeepSeek,LLM,1
Police officers,M,m,cpx,post,Google,NMT,1
Police officers,M,m,cpx,post,DeepL,NMT,1
Police officers,M,m,cpx,post,GPT5,LLM,1
Police officers,M,m,cpx,post,Claude,LLM,1
Police officers,M,m,cpx,post,Ministral,LLM,1
Police officers,M,m,cpx,post,Qwen,LLM,1
Police officers,M,m,cpx,post,LLaMA,LLM,1
Police officers,M,m,cpx,post,DeepSeek,LLM,1
Police officers,M,f,cpx,post,Google,NMT,1
Police officers,M,f,cpx,post,DeepL,NMT,1
Police officers,M,f,cpx,post,GPT5,LLM,1
Police officers,M,f,cpx,post,Claude,LLM,1
Police officers,M,f,cpx,post,Ministral,LLM,0
Police officers,M,f,cpx,post,Qwen,LLM,1
Police officers,M,f,cpx,post,LLaMA,LLM,0
Police officers,M,f,cpx,post,DeepSeek,LLM,1
Computer programmers,M,m,smp,ante,Google,NMT,1
Computer programmers,M,m,smp,ante,DeepL,NMT,1
Computer programmers,M,m,smp,ante,GPT5,LLM,1
Computer programmers,M,m,smp,ante,Claude,LLM,1
Computer programmers,M,m,smp,ante,Ministral,LLM,1
Computer programmers,M,m,smp,ante,Qwen,LLM,1
Computer programmers,M,m,smp,ante,LLaMA,LLM,1
Computer programmers,M,m,smp,ante,DeepSeek,LLM,1
Computer programmers,M,f,smp,ante,Google,NMT,1
Computer programmers,M,f,smp,ante,DeepL,NMT,1
Computer programmers,M,f,smp,ante,GPT5,LLM,1
Computer programmers,M,f,smp,ante,Claude,LLM,1
Computer programmers,M,f,smp,ante,Ministral,LLM,1
Computer programmers,M,f,smp,ante,Qwen,LLM,1
Computer programmers,M,f,smp,ante,LLaMA,LLM,1
Computer programmers,M,f,smp,ante,DeepSeek,LLM,0
Computer programmers,M,m,cpx,ante,Google,NMT,1
Computer programmers,M,m,cpx,ante,DeepL,NMT,1
Computer programmers,M,m,cpx,ante,GPT5,LLM,1
Computer programmers,M,m,cpx,ante,Claude,LLM,1
Computer programmers,M,m,cpx,ante,Ministral,LLM,1
Computer programmers,M,m,cpx,ante,Qwen,LLM,1
Computer programmers,M,m,cpx,ante,LLaMA,LLM,1
Computer programmers,M,m,cpx,ante,DeepSeek,LLM,1
Computer programmers,M,f,cpx,ante,Google,NMT,0
Computer programmers,M,f,cpx,ante,DeepL,NMT,0
Computer programmers,M,f,cpx,ante,GPT5,LLM,1
Computer programmers,M,f,cpx,ante,Claude,LLM,1
Computer programmers,M,f,cpx,ante,Ministral,LLM,1
Computer programmers,M,f,cpx,ante,Qwen,LLM,1
Computer programmers,M,f,cpx,ante,LLaMA,LLM,1
Computer programmers,M,f,cpx,ante,DeepSeek,LLM,1
Computer programmers,M,m,smp,post,Google,NMT,1
Computer programmers,M,m,smp,post,DeepL,NMT,1
Computer programmers,M,m,smp,post,GPT5,LLM,1
Computer programmers,M,m,smp,post,Claude,LLM,1
Computer programmers,M,m,smp,post,Ministral,LLM,1
Computer programmers,M,m,smp,post,Qwen,LLM,1
Computer programmers,M,m,smp,post,LLaMA,LLM,1
Computer programmers,M,m,smp,post,DeepSeek,LLM,1
Computer programmers,M,f,smp,post,Google,NMT,1
Computer programmers,M,f,smp,post,DeepL,NMT,1
Computer programmers,M,f,smp,post,GPT5,LLM,1
Computer programmers,M,f,smp,post,Claude,LLM,1
Computer programmers,M,f,smp,post,Ministral,LLM,1
Computer programmers,M,f,smp,post,Qwen,LLM,1
Computer programmers,M,f,smp,post,LLaMA,LLM,1
Computer programmers,M,f,smp,post,DeepSeek,LLM,1
Computer programmers,M,m,cpx,post,Google,NMT,1
Computer programmers,M,m,cpx,post,DeepL,NMT,1
Computer programmers,M,m,cpx,post,GPT5,LLM,1
Computer programmers,M,m,cpx,post,Claude,LLM,1
Computer programmers,M,m,cpx,post,Ministral,LLM,1
Computer programmers,M,m,cpx,post,Qwen,LLM,1
Computer programmers,M,m,cpx,post,LLaMA,LLM,1
Computer programmers,M,m,cpx,post,DeepSeek,LLM,1
Computer programmers,M,f,cpx,post,Google,NMT,1
Computer programmers,M,f,cpx,post,DeepL,NMT,1
Computer programmers,M,f,cpx,post,GPT5,LLM,1
Computer programmers,M,f,cpx,post,Claude,LLM,1
Computer programmers,M,f,cpx,post,Ministral,LLM,0
Computer programmers,M,f,cpx,post,Qwen,LLM,1
Computer programmers,M,f,cpx,post,LLaMA,LLM,0
Computer programmers,M,f,cpx,post,DeepSeek,LLM,1
Chefs and head cooks,M,m,smp,ante,Google,NMT,1
Chefs and head cooks,M,m,smp,ante,DeepL,NMT,1
Chefs and head cooks,M,m,smp,ante,GPT5,LLM,1
Chefs and head cooks,M,m,smp,ante,Claude,LLM,1
Chefs and head cooks,M,m,smp,ante,Ministral,LLM,1
Chefs and head cooks,M,m,smp,ante,Qwen,LLM,1
Chefs and head cooks,M,m,smp,ante,LLaMA,LLM,1
Chefs and head cooks,M,m,smp,ante,DeepSeek,LLM,1
Chefs and head cooks,M,f,smp,ante,Google,NMT,1
Chefs and head cooks,M,f,smp,ante,DeepL,NMT,1
Chefs and head cooks,M,f,smp,ante,GPT5,LLM,1
Chefs and head cooks,M,f,smp,ante,Claude,LLM,1
Chefs and head cooks,M,f,smp,ante,Ministral,LLM,0
Chefs and head cooks,M,f,smp,ante,Qwen,LLM,1
Chefs and head cooks,M,f,smp,ante,LLaMA,LLM,0
Chefs and head cooks,M,f,smp,ante,DeepSeek,LLM,0
Chefs and head cooks,M,m,cpx,ante,Google,NMT,1
Chefs and head cooks,M,m,cpx,ante,DeepL,NMT,1
Chefs and head cooks,M,m,cpx,ante,GPT5,LLM,1
Chefs and head cooks,M,m,cpx,ante,Claude,LLM,1
Chefs and head cooks,M,m,cpx,ante,Ministral,LLM,1
Chefs and head cooks,M,m,cpx,ante,Qwen,LLM,1
Chefs and head cooks,M,m,cpx,ante,LLaMA,LLM,1
Chefs and head cooks,M,m,cpx,ante,DeepSeek,LLM,1
Chefs and head cooks,M,f,cpx,ante,Google,NMT,0
Chefs and head cooks,M,f,cpx,ante,DeepL,NMT,0
Chefs and head cooks,M,f,cpx,ante,GPT5,LLM,1
Chefs and head cooks,M,f,cpx,ante,Claude,LLM,1
Chefs and head cooks,M,f,cpx,ante,Ministral,LLM,1
Chefs and head cooks,M,f,cpx,ante,Qwen,LLM,1
Chefs and head cooks,M,f,cpx,ante,LLaMA,LLM,0
Chefs and head cooks,M,f,cpx,ante,DeepSeek,LLM,1
Chefs and head cooks,M,m,smp,post,Google,NMT,1
Chefs and head cooks,M,m,smp,post,DeepL,NMT,1
Chefs and head cooks,M,m,smp,post,GPT5,LLM,1
Chefs and head cooks,M,m,smp,post,Claude,LLM,1
